Date,Block,Trtmnt,DateBlkTrtmnt,Loc,Time,Netter,AvegWindMph,TempC,Humidity,CloudCover,PercentInSun,Genus,Species,TotalOpenFl,TotalCloseFl,NatorNon,Notes,
11Sep2023,mpsu,nh,11Sep2023mpsunh,bldg16Mesa,947,DG,0.8,18.3,82,0,80,Monardella,villosa,82,0,native,,
11Sep2023,mpsu,nh,11Sep2023mpsunh,bldg16Mesa,947,DG,0.8,18.3,82,0,80,Eriogonum,latifolium,"2,146",613,native,,
11Sep2023,mpsu,nh,11Sep2023mpsunh,bldg16Mesa,947,DG,0.8,18.3,82,0,80,Achillea ,millefolium,"4,623",0,native,"petals still on, but 90% starting to senesce",
11Sep2023,mpsu,nh,11Sep2023mpsunh,bldg16Mesa,947,DG,0.8,18.3,82,0,80,Pseudognaphalium,luteoalbum,20,0,non,,
11Sep2023,mpsu,nh,11Sep2023mpsunh,bldg16Mesa,947,DG,0.8,18.3,82,0,80,Erigeron,bonariensis,0,10,non,,
11Sep2023,mpsu,h,11Sep2023mpsuh,Powderhouse,1108,DG,6.3,18.6,67,0,100,Symphyotrichum ,chilense,72,10,native,,
11Sep2023,mpsu,h,11Sep2023mpsuh,Powderhouse,1108,DG,6.3,18.6,67,0,100,Grindelia,hirsitula,8,3,native,,
11Sep2023,mpsu,h,11Sep2023mpsuh,Powderhouse,1108,DG,6.3,18.6,67,0,100,Grindelia,stricta,12,6,native,,
11Sep2023,mpsu,h,11Sep2023mpsuh,Powderhouse,1108,DG,6.3,18.6,67,0,100,Convolvulus,arvensis,8,2,non,,
11Sep2023,mpsu,h,11Sep2023mpsuh,Powderhouse,1108,DG,6.3,18.6,67,0,100,Horkelia,californica,45,0,native,,
11Sep2023,mpsu,h,11Sep2023mpsuh,Powderhouse,1108,DG,6.3,18.6,67,0,100,Pseudognaphalium,luteoalbum,0,2133,non,,
11Sep2023,mpsu,c,11Sep2023mpsuc,Rock Wall,1047,DG,0.8,18.6,67,0,100,,,0,0,,nothing in flower,
11Sep2023,fscg,h,11Sep2023fscgh,south planter,1455,DG,3.2,20.5,74,30,15,Fragaria,,3,0,non,not sure species of strawberry; not planted by us,
11Sep2023,fscg,h,11Sep2023fscgh,south planter,1455,DG,3.2,20.5,74,30,15,Symphyotrichum ,chilense,50,7,native,,
11Sep2023,fscg,h,11Sep2023fscgh,south planter,1455,DG,3.2,20.5,74,30,15,Fumaria,capreolata,83,0,non,,
11Sep2023,fscg,h,11Sep2023fscgh,south planter,1455,DG,3.2,20.5,74,30,15,Anagalis,arvensis,18,2,non,,
11Sep2023,fscg,h,11Sep2023fscgh,south planter,1455,DG,3.2,20.5,74,30,15,Nepeta,,1210,1100,non,catnip,
